Name,Artist,Genre,CreationYear,Duration,Views,Rating,Price,
Hay Trao Cho Anh,Son Tung MTP,VPOP,2019,00:04:59,100000000,4.5,0,
Lac Troi,Son Tung MTP,VPOP,2017,00:04:59,100000000,4.5,0.99,
Chay Ngay Di,Son Tung MTP,VPOP,2018,00:04:59,100000000,4.5,0,
Nguoi La Oi,Orange,VPOP,2019,00:04:59,100000000,4.5,0.99,
Kill This Love,Black Pink,KPOP,2019,00:04:59,100000000,4.5,0.99,
Ddu-Du Ddu-Du,Black Pink,KPOP,2018,00:04:59,100000000,4.5,0,
Pink Venom,Black Pink,KPOP,2019,00:04:59,100000000,4.5,0,
Shape Of You,Ed Sheeran,USUK,2017,00:04:59,100000000,4.5,0.99,
Perfect,Ed Sheeran,USUK,2017,00:04:59,100000000,4.5,0,
Old Town Road,Lil Nas X,USUK,2019,00:04:59,100000000,4.5,0.99,
